id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85764,Valencia_NDB_ES,B,Valencia,NDB,400,39.479698181152344,-0.4561780095100403,,ES,,,,,,,-1.144,TERMINAL,MEDIUM,LEVC
85767,Bautzen_NDB_DE,BA,Bautzen,NDB,359,51.19879913330078,14.547800064086914,,DE,,,,,,,2.29,RNAV,LOW,EDAB
85779,Beale_TACAN_US,BAB,Beale,TACAN,108600,39.13479995727539,-121.44100189208984,165,US,108600,023X,,,,16.001,14.578,BOTH,MEDIUM,KBAB
85788,Bagur_NDB_ES,BAG,Bagur,NDB,319,41.951499938964844,3.2030699253082275,,ES,,,,,,,-0.203,LO,MEDIUM,
85790,Bailen_NDB_ES,BAI,Bailen,NDB,418,38.1515007019043,-3.6291699409484863,,ES,,,,,,,-2.075,LO,LOW,
85792,Backa_VOR-DME_SE,BAK,Backa,VOR-DME,112700,57.555198669433594,11.976900100708008,301,SE,112700,074X,,,,1.001,1.449,RNAV,HIGH,
85796,Baldonnel_VOR-DME_IE,BAL,Baldonnel,VOR-DME,115800,53.29990005493164,-6.447780132293701,300,IE,115800,105X,,,,,-5.097,BOTH,HIGH,EIME
85798,Barmen_VORTAC_DE,BAM,Barmen,VORTAC,113600,51.32780075073242,7.176980018615723,879,DE,113600,083X,,,,0.009,0.165,BOTH,HIGH,
85799,Battle_Mountain_VORTAC_US,BAM,Battle Mountain,VORTAC,112200,40.56919860839844,-116.9219970703125,4536,US,112200,059X,,,,18.001,14.219,BOTH,HIGH,
85803,Barahona_VOR-DME_ES,BAN,Barahona,VOR-DME,112800,41.32360076904297,-2.6297900676727295,3717,ES,112800,075X,41.3235,-2.62989,3717,-3.007,-1.595,BOTH,HIGH,
85811,Bari_VOR-DME_IT,BAR,Bari,VOR-DME,116400,41.1442985534668,16.776399612426758,108,IT,116400,111X,,,,1.007,2.306,BOTH,HIGH,LIBD
85823,Bayreuth_VOR_DE,BAY,Bayreuth,VOR,110600,49.985198974609375,11.636699676513672,1625,DE,,,,,,1.009,1.392,BOTH,MEDIUM,EDQD
85825,Bayreuth_DME_DE,BAY,Bayreuth,DME,110600,49.98569869995117,11.638099670410156,1620,DE,110600,043X,,,,,1.393,TERMINAL,LOW,EDQD
85826,Bayreuth_NDB_DE,BAZ,Bayreuth,NDB,420,49.95690155029297,11.565199851989746,,DE,,,,,,,1.381,TERMINAL,LOW,EDQD
85834,Benbecula_NDB_GB,BBA,Benbecula,NDB,401,57.476200103759766,-7.3692498207092285,,GB,,,,,,,-6.403,TERMINAL,LOW,
85840,Beauvechain_TACAN_BE,BBE,Beauvechain,TACAN,116000,50.75640106201172,4.768060207366943,370,BE,116000,107X,,,,,-0.281,BOTH,HIGH,EBBE
85843,Salamanca_VOR-DME_ES,BBI,Salamanca,VOR-DME,112200,41.01679992675781,-5.456439971923828,2982,ES,112200,059X,41.0168,-5.45653,2982,,-2.53,BOTH,HIGH,LESA
85845,Kleine_Brogel_TACAN_BE,BBL,Kleine Brogel,TACAN,109600,51.1702995300293,5.466390132904053,180,BE,109600,033X,,,,,-0.164,BOTH,MEDIUM,EBBL
85847,Babimost_NDB_PL,BBM,Babimost,NDB,390,52.14039993286133,15.796199798583984,,PL,,,,,,,2.526,TERMINAL,LOW,EPZG
85864,Cap_Blanc_NDB_TN,BC,Cap Blanc,NDB,310,37.33000183105469,9.83611011505127,,TN,,,,,,,1.093,LO,MEDIUM,
85867,Bryce_Canyon_VORTAC_US,BCE,Bryce Canyon,VORTAC,112800,37.68920135498047,-112.30400085449219,9040,US,112800,075X,,,,15.001,12.222,BOTH,HIGH,
85871,Benbecula_DME_GB,BCL,Benbecula,DME,108100,57.475101470947266,-7.370319843292236,48,GB,108100,018X,,,,,-6.403,TERMINAL,LOW,EGPL
85872,Barcelona_VOR-DME_ES,BCN,Barcelona,VOR-DME,116700,41.307098388671875,2.1078100204467773,23,ES,116700,114X,41.3072,2.10797,23,,-0.363,BOTH,HIGH,LEBL
